symptom,specialty
đau ngực,Tim mạch
khó thở,Tim mạch
tim đập nhanh,Tim mạch
hồi hộp,Tim mạch
tức ngực,Tim mạch
huyết áp cao,Tim mạch
sốt,Nội khoa
ho,Nội khoa
đau đầu,Nội khoa
mệt mỏi,Nội khoa
tiêu chảy,Nội khoa
buồn nôn,Nội khoa
đau bụng,Nội khoa
sổ mũi,Nội khoa
đau họng,Nội khoa
trẻ em sốt,Nhi khoa
trẻ em ho,Nhi khoa
trẻ em tiêu chảy,Nhi khoa
trẻ em nôn,Nhi khoa
trẻ em phát ban,Nhi khoa
đau bụng kinh,Sản phụ khoa
mang thai,Sản phụ khoa
rối loạn kinh nguyệt,Sản phụ khoa
khám thai,Sản phụ khoa
ra huyết bất thường,Sản phụ khoa
đau bụng dưới (nữ),Sản phụ khoa
đau mắt,Mắt
mờ mắt,Mắt
chảy nước mắt,Mắt
đỏ mắt,Mắt
ngứa mắt,Mắt
đau răng,Răng hàm mặt
sâu răng,Răng hàm mặt
chảy máu nướu,Răng hàm mặt
hôi miệng,Răng hàm mặt
lung lay răng,Răng hàm mặt
nổi mụn,Da liễu
ngứa da,Da liễu
phát ban,Da liễu
nổi mề đay,Da liễu
rụng tóc,Da liễu
chàm da,Da liễu
đau đầu dữ dội,Thần kinh
chóng mặt,Thần kinh
tê bì tay chân,Thần kinh
mất ngủ,Thần kinh
co giật,Thần kinh
đau lưng,Cơ xương khớp
đau khớp gối,Cơ xương khớp
sưng khớp,Cơ xương khớp
đau cổ,Cơ xương khớp
đau vai,Cơ xương khớp
đau cơ,Cơ xương khớp
đau bụng dữ dội,Ngoại khoa
ruột thừa,Ngoại khoa
thoát vị,Ngoại khoa
vết thương,Ngoại khoa
bướu cổ,Ngoại khoa
